test_image,response,resptime
,,
ori25g2p7.png,4,6.853216
,,
anig1p5.png,9,2.629037
,,
ori25g2p2.png,4,6.496396
,,
ani25g1p6.png,3,2.431348
,,
orig1p9.png,8,3.057197
,,
ani5g2p10.png,7,3.288666
,,
ori35g2p7.png,2,1.832636
,,
ori15g2p10.png,4,3.257757
,,
ori45g3p8.png,1,1.533552
,,
ani25g2p9.png,2,1.888804
,,
ani25g3p8.png,3,2.302305
,,
ani45g3p8.png,1,1.365439
,,
orig3p1.png,10,1.693053
,,
ani15g2p8.png,5,160.040927
,,
ani5g2p3.png,7,3.910593
,,
orig3p9.png,8,3.510764
,,
ori5g2p4.png,10,1.87444
,,
ani45g1p8.png,2,2.287336
,,
ani45g3p9.png,1,1.181036
,,
ani25g2p8.png,3,2.025643
,,
ori25g2p10.png,2,3.095166
,,
ori35g1p8.png,3,4.243208
,,
orig3p10.png,8,2.303557
,,
ori25g3p9.png,3,2.82415
,,
ani25g1p8.png,5,92.226644
,,
ani5g1p7.png,7,4.553788
,,
ani15g1p6.png,6,3.722724
,,
ani15g1p4.png,7,2.659831
,,
ori35g2p4.png,3,16.109846
,,
ori25g3p5.png,3,2.892711
,,
ani15g2p10.png,5,3.593698
,,
ori45g2p4.png,2,1.409291
,,
ori35g3p1.png,2,1.081028
,,
ani25g3p5.png,3,4.519822
,,
ori15g2p2.png,6,2.760318
,,
ori5g2p9.png,8,2.365907
,,
orig3p8.png,9,1.590684
,,
ani25g2p1.png,3,2.162895
,,
anig1p6.png,10,2.783749
,,
ani45g1p2.png,2,1.990591
,,
ori15g3p10.png,4,3.648177
,,
ori45g2p9.png,1,2.62672
,,
anig3p2.png,8,3.166847
,,
ori15g3p2.png,6,5.529368
,,
ani5g2p4.png,9,2.376073
,,
ani25g2p4.png,5,3.17636
,,
ori15g3p1.png,4,2.365113
,,
ori45g2p8.png,1,2.033124
,,
ani5g1p9.png,10,2.760056
,,
ani5g2p5.png,10,1.25172
,,
ori15g1p4.png,10,1.940703
,,
ori5g2p7.png,10,1.045918
,,
ori25g3p10.png,3,12.951355
,,
ori35g2p5.png,2,1.360133
,,
anig2p8.png,10,1.670057
,,
ani15g2p5.png,5,4.007733
,,
ori5g2p6.png,7,2.367355
,,
anig1p7.png,9,6.273818
,,
ani25g3p2.png,3,2.759567
,,
ani45g2p1.png,2,1.056901
,,
ori15g3p4.png,4,3.925297
,,
orig3p7.png,9,1.940712
,,
ani35g3p3.png,2,2.120798
,,
ani5g1p4.png,10,3.522445
,,
ani15g1p5.png,4,7.282761
,,
ori45g3p7.png,1,1.445392
,,
ori35g3p9.png,1,1.061557
,,
ani5g1p10.png,9,4.070257
,,
ani35g2p2.png,2,2.677664
,,
orig1p4.png,10,1.294804
,,
ani45g2p9.png,1,3.400711
,,
orig3p6.png,10,1.34296
,,
ani35g2p4.png,1,2.955847
,,
ori25g2p1.png,2,2.030156
,,
ani25g3p1.png,2,2.363781
,,
ani45g1p9.png,2,1.42493
,,
ori35g1p3.png,2,2.584694
,,
ani25g2p2.png,3,3.120294
,,
ani25g3p4.png,3,2.474828
,,
orig2p9.png,10,1.61422
,,
ani5g3p9.png,10,1.476004
,,
ori25g1p3.png,6,3.494163
,,
ani15g2p4.png,6,2.548688
,,
anig2p2.png,7,1.98526
,,
ani35g1p8.png,2,3.602557
,,
anig2p10.png,9,3.528565
,,
ori5g1p7.png,10,1.641161
,,
ori45g1p7.png,1,2.263623
,,
ori45g1p2.png,1,0.993067
,,
ani5g3p4.png,10,1.292696
,,
ani35g3p5.png,2,4.240516
,,
orig1p8.png,10,1.143047
,,
ani45g1p7.png,1,2.024807
,,
ori45g1p9.png,1,1.10072
,,
anig3p4.png,10,1.323124
,,
orig1p5.png,10,0.949147
,,
ani5g2p8.png,9,1.199548
,,
ani5g3p1.png,8,1.961339
,,
ani25g2p7.png,6,2.409401
,,
ori35g3p7.png,2,6.189392
,,
ani35g1p6.png,2,1.953672
,,
ani45g1p6.png,1,0.777513
,,
ori5g1p2.png,10,1.586171
,,
ori25g2p8.png,4,12.11707
,,
ori35g3p6.png,2,1.630507
,,
ori45g3p9.png,1,1.01525
,,
ani25g3p9.png,2,3.7657
,,
ani45g3p10.png,1,0.904178
,,
ani25g1p10.png,4,2.231958
,,
ani5g1p1.png,7,2.308498
,,
ani5g3p7.png,8,1.577318
,,
ani35g2p7.png,3,1.579504
,,
orig3p5.png,4,1.891182
,,
ori35g1p10.png,2,2.783872
,,
ori15g2p9.png,4,2.320906
,,
ori45g2p6.png,2,1.456324
,,
ani25g3p10.png,4,3.292161
,,
ori35g2p6.png,1,2.058977
,,
ani15g1p9.png,7,3.002272
,,
ori45g3p10.png,1,1.20736
,,
ani25g1p4.png,4,4.118458
,,
ani15g3p3.png,6,2.032133
,,
ori45g2p7.png,1,1.860215
,,
ani35g3p10.png,1,0.73797
,,
ani45g3p7.png,1,1.099792
,,
ori15g2p5.png,4,3.869664
,,
ori35g2p1.png,2,1.912162
,,
ori15g1p5.png,8,3.762917
,,
ori5g1p8.png,8,2.023781
,,
