test_image,response,resptime
ori25g2p8.png,3,13.255189
ori45g2p10.png,1,1.345088
ori35g1p4.png,1,1.106874
ori45g1p4.png,1,0.934295
ani5g2p2.png,5,2.271406
ori15g2p2.png,6,4.296397
ani5g1p4.png,6,1.354251
ani35g2p9.png,1,7.243566
ori45g3p8.png,1,1.003442
orig1p5.png,7,2.275569
ani15g1p5.png,5,1.584535
ani35g1p4.png,3,14.731928
ani45g1p2.png,2,0.821752
ani35g1p1.png,2,1.809927
ani25g1p3.png,4,1.439301
anig3p2.png,6,1.688023
ori45g2p8.png,1,2.642011
ori5g1p6.png,7,2.709525
ani45g3p3.png,1,0.984037
ori5g3p3.png,8,1.033395
ori25g2p2.png,4,1.443091
ani5g2p9.png,6,1.627454
ori5g2p6.png,7,1.92768
ani5g3p8.png,8,0.808428
ani35g2p6.png,1,0.854269
anig2p3.png,8,2.471242
ori35g3p7.png,2,0.909907
ori35g1p8.png,3,1.919609
ori15g1p5.png,4,1.202746
ori15g2p6.png,5,1.402863
ani35g3p1.png,1,1.586477
ani25g2p2.png,3,2.916871
ani25g1p5.png,3,1.013543
ani35g2p3.png,3,0.874598
ori15g1p9.png,5,1.782304
ani25g3p5.png,4,1.256426
ori35g2p2.png,1,0.842471
anig3p10.png,7,1.340318
ani5g2p6.png,7,1.400783
ori15g3p7.png,4,1.168477
ani15g2p6.png,4,0.932747
ori25g3p6.png,3,0.835145
ori35g2p9.png,2,0.950745
ani15g3p2.png,4,1.284704
orig2p10.png,6,1.358677
ori35g3p3.png,1,0.829823
ani45g1p9.png,2,0.906546
ori15g3p8.png,3,1.049789
ani15g1p2.png,5,1.344343
anig1p1.png,8,1.008569
orig3p8.png,9,1.169613
ani15g2p7.png,2,1.189517
ani45g1p5.png,1,3.115056
ani5g2p3.png,9,1.295623
anig1p8.png,8,2.632039
ori45g2p7.png,2,1.178333
ani5g3p10.png,8,1.090297
orig1p9.png,7,1.968557
ani45g2p3.png,1,0.745883
ani5g3p1.png,4,1.187793
ori5g1p7.png,6,2.466297
ori35g2p8.png,3,2.606343
orig3p1.png,8,0.979117
ori5g3p9.png,7,1.419866
orig1p4.png,7,5.721686
ani25g3p6.png,3,0.884477
ani15g3p8.png,5,2.322837
ori25g3p9.png,1,0.819329
ori45g3p7.png,1,0.767943
ani45g2p10.png,1,0.551999
ani45g3p10.png,1,0.414361
ori5g3p10.png,6,0.989816
ani45g2p7.png,1,0.716895
orig3p7.png,7,1.476677
ori15g2p5.png,2,1.184794
anig2p9.png,8,0.898751
ani35g3p4.png,2,2.357875
ori45g3p2.png,1,0.821319
ani45g3p7.png,1,0.854462
orig1p10.png,3,1.161867
ori5g3p2.png,8,4.159659
ani25g1p1.png,7,1.078616
anig1p2.png,8,0.95323
anig3p7.png,7,0.983618
ani5g3p2.png,5,1.188886
ori25g2p5.png,4,1.084888
ani5g2p4.png,7,2.15841
ani15g3p3.png,3,1.197694
ani15g3p7.png,4,1.512714
ori25g3p10.png,4,1.488187
ori5g3p5.png,5,1.075642
orig3p2.png,6,2.990319
ani45g3p6.png,2,1.155972
ani35g3p7.png,1,0.818051
ori25g1p7.png,3,1.162463
anig2p7.png,9,1.667924
ani25g2p6.png,4,1.919216
ani45g2p6.png,3,0.891934
ori35g1p10.png,2,1.128066
ani5g2p10.png,7,2.052912
ani5g1p2.png,7,0.919273
ori35g1p6.png,3,1.454882
ori35g3p6.png,3,2.304804
ani25g2p9.png,4,1.062891
ori45g2p6.png,3,1.156958
orig1p8.png,7,1.004125
ani25g2p7.png,4,1.264932
ori35g1p1.png,5,1.458135
ori5g2p3.png,7,2.289861
ori5g2p2.png,8,2.787408
ori35g3p4.png,4,1.121372
ani45g3p5.png,3,1.261376
ori25g2p4.png,4,4.247794
ani5g1p9.png,7,0.978834
ani15g1p6.png,8,0.85367
orig2p1.png,8,0.806325
ori45g2p4.png,3,2.477652
orig3p3.png,7,1.036059
ori25g2p6.png,6,1.966822
ani45g2p2.png,1,1.340054
ori35g2p3.png,1,0.547101
orig2p7.png,7,0.786339
ori5g1p9.png,7,2.952267
ani35g3p8.png,2,2.136352
ori45g1p2.png,1,0.939633
orig2p3.png,7,1.685864
ori5g3p6.png,5,30.277644
ori45g2p2.png,3,9.821363
ori15g1p1.png,6,1.236128
ani35g2p4.png,3,0.738721
ori5g1p5.png,7,0.747307
anig2p6.png,8,0.001983
ani25g3p9.png,3,1.690563
ori45g3p10.png,1,1.236372
ori15g2p9.png,4,0.951549
anig3p4.png,7,1.033845
ani5g3p7.png,6,3.754688
ori25g2p1.png,3,0.84714
orig1p7.png,6,1.694639
ori5g1p8.png,6,0.795034
ani25g1p4.png,3,2.41655
ori15g1p10.png,3,1.9791
ori25g1p4.png,4,1.437261
ani25g3p3.png,4,1.05284
ori25g2p9.png,3,0.662735
ori5g3p4.png,7,0.765092
ori15g1p4.png,3,1.012601
ani15g3p6.png,4,1.117403
ani15g3p9.png,7,0.863746
ani45g1p1.png,1,0.80315
ani15g3p1.png,2,1.451856
ani5g1p10.png,7,0.815157
anig1p6.png,7,0.878791
ani5g3p9.png,8,0.932108
orig2p9.png,7,0.836175
anig3p5.png,6,0.837127
ani25g1p2.png,3,1.673541
ori5g1p3.png,3,0.9411
ori45g1p3.png,1,0.762285
ani35g3p10.png,1,0.604325
ori25g1p10.png,1,0.955976
ani45g2p9.png,1,0.603386
ani25g2p4.png,1,0.655053
ori45g1p10.png,1,0.430551
ani15g2p1.png,4,2.736363
anig2p10.png,8,1.29217
anig3p1.png,6,1.530409
ori35g2p6.png,3,0.767576
ori15g3p9.png,5,1.532547
ori25g3p4.png,4,1.335242
ani35g1p6.png,3,0.916891
ani35g1p9.png,3,0.796797
ori5g2p5.png,6,0.921466
ori35g2p4.png,3,0.793071
ani45g1p10.png,3,0.697513
ori5g1p2.png,8,0.708309
ori5g2p4.png,8,0.992994
ani5g1p7.png,8,0.865128
anig1p9.png,9,0.849053
ani45g2p8.png,1,1.416401
anig1p3.png,7,0.921497
ani15g2p2.png,4,1.541214
ani35g3p9.png,3,1.214579
ani25g1p9.png,4,1.959355
anig2p2.png,5,1.20155
orig2p6.png,6,0.944482
ani5g3p4.png,7,1.354598
ani25g1p6.png,4,4.461576
ani25g2p3.png,4,0.80402
ori15g1p7.png,7,1.148789
anig3p8.png,8,0.862423
ori35g2p10.png,3,2.317007
orig1p2.png,9,1.68725
ani35g2p10.png,3,1.303172
ori15g2p1.png,4,1.075297
ani25g2p10.png,3,1.096643
anig1p7.png,7,1.638672
ani45g1p7.png,1,1.17083
ani15g3p10.png,4,1.331215
ori45g2p9.png,1,0.934652
ani25g3p2.png,2,0.894668
ori45g1p6.png,1,0.800041
ori25g3p2.png,2,0.910969
ani5g1p1.png,7,1.46613
ori15g3p10.png,4,3.056451
ani35g2p7.png,1,0.812196
orig2p4.png,5,2.132896
ani35g1p3.png,4,1.156329
ori25g3p7.png,3,0.973292
ani15g1p1.png,7,1.678351
orig1p3.png,7,0.710449
ori35g1p3.png,4,1.14063
ani35g3p2.png,2,1.069847
ani15g3p5.png,3,1.34459
ori45g3p9.png,1,1.04807
ani5g3p6.png,7,1.415126
ani15g2p8.png,6,1.807845
ani5g3p5.png,6,0.957716
ori15g1p3.png,6,0.667039
ori45g1p7.png,1,0.722961
ori15g3p2.png,2,0.829051
ani15g1p3.png,4,1.236782
ani45g2p4.png,1,0.862505
ani35g3p3.png,1,0.600446
anig1p5.png,8,1.504388
ori25g2p3.png,5,5.005491
ori35g3p2.png,3,2.903461
ani25g2p5.png,4,1.568701
ori5g3p7.png,5,1.031611
ori35g3p1.png,2,0.947628
ori45g3p5.png,2,0.823498
ani35g2p1.png,3,1.25028
ani5g2p8.png,7,2.917446
ani15g1p9.png,4,1.884702
ori15g2p10.png,4,3.556644
ori45g3p3.png,1,0.937166
ori25g1p5.png,3,1.853137
ani45g3p4.png,1,6.236186
ani15g1p10.png,4,2.666114
ani25g3p10.png,4,1.360785
ani5g1p5.png,7,1.327259
ori45g1p1.png,5,2.001548
ani45g1p3.png,4,0.971855
ori15g3p4.png,4,1.45486
orig3p5.png,5,1.511534
ori25g3p1.png,3,2.454038
orig3p9.png,8,1.774147
anig1p10.png,7,1.001886
ori35g3p8.png,3,2.15202
ani15g2p5.png,5,1.150235
