test_image,response,resptime
ani25g1p9.png,7,6.507075
anig2p2.png,7,32.821482
ani35g1p1.png,2,3.619122
ani45g3p3.png,1,1.589731
ani35g3p1.png,4,1.755017
ori5g2p8.png,10,1.736436
ani45g3p4.png,2,1.257068
anig1p3.png,7,2.770561
ori45g3p2.png,2,1.372028
orig3p6.png,10,1.363617
ani35g1p5.png,2,1.489365
ori25g3p4.png,2,1.369815
ori15g3p7.png,4,1.855145
ani5g3p8.png,7,2.519943
ori45g3p6.png,1,1.604499
ori35g1p4.png,2,1.518862
ori45g2p6.png,2,1.484453
ani25g1p4.png,3,3.235358
ori35g3p10.png,1,1.243433
orig1p4.png,10,1.876216
ani45g2p1.png,3,1.795476
ori35g3p5.png,2,1.365713
ori5g2p5.png,10,1.356597
ani25g3p3.png,3,2.045328
ani45g1p8.png,2,1.38446
ani15g2p5.png,5,3.74163
ori35g2p6.png,3,3.417033
ori5g3p3.png,6,7.383307
ani15g3p2.png,5,2.106538
ori25g3p10.png,2,1.22861
anig2p6.png,8,4.229332
ani15g2p10.png,4,2.91981
ani35g3p3.png,3,1.370034
orig3p8.png,10,2.368785
orig3p9.png,7,8.658815
ani35g3p6.png,3,1.487999
ani15g3p7.png,4,1.47839
ori35g1p1.png,4,1.656428
ani45g1p3.png,3,1.367008
ori45g1p1.png,4,1.738181
orig1p1.png,10,1.367824
ori25g1p4.png,5,1.870475
ani5g2p4.png,7,1.738994
anig3p3.png,8,2.753936
ani35g3p5.png,3,1.490152
ani25g3p2.png,4,1.991252
ori45g3p9.png,1,1.249552
ani35g1p6.png,3,1.371356
orig3p7.png,10,1.253387
ori25g2p3.png,4,1.612242
ori45g1p3.png,5,2.283736
ori15g1p4.png,5,1.594672
ori25g3p8.png,4,1.888898
orig2p9.png,10,1.119694
ori25g1p10.png,4,2.618168
ori45g1p2.png,3,1.299572
ori35g3p6.png,3,1.617382
ori25g3p7.png,3,4.606786
orig1p2.png,10,1.365431
orig2p2.png,10,3.616073
ori35g1p7.png,2,1.772842
ani25g1p8.png,4,2.476836
ori25g2p1.png,3,1.605187
ori15g2p2.png,5,1.975665
anig2p8.png,10,1.619284
ani35g1p9.png,4,3.530472
ani25g2p6.png,7,1.995413
ani45g1p10.png,4,1.421405
ani35g2p10.png,3,2.859466
ani35g3p9.png,1,1.23729
ori35g1p5.png,3,1.738383
ani35g3p4.png,5,1.749514
ani15g1p3.png,7,8.769064
ori35g2p8.png,3,8.371222
ori15g1p7.png,6,6.53689
ori45g3p7.png,1,1.488003
ori25g2p4.png,3,1.603311
ani45g1p9.png,4,2.131686
anig1p2.png,8,1.987752
ani15g3p8.png,3,1.544084
ani25g1p2.png,3,1.843046
ori5g2p4.png,8,1.741264
ani15g2p6.png,7,1.986158
ori5g3p1.png,6,1.994234
orig2p5.png,8,1.989179
ani45g1p5.png,2,1.396566
ori5g1p6.png,8,2.495862
ani25g3p8.png,5,1.74393
ani5g3p10.png,8,2.617114
ani15g1p10.png,8,1.392863
ori25g1p3.png,4,1.993432
ori45g2p5.png,1,1.238268
ori35g3p4.png,1,1.308217
ori25g2p5.png,4,4.610595
ani5g3p4.png,9,3.881424
ori45g2p4.png,3,3.332969
orig1p6.png,10,1.61571
