test_image,response,resptime
ori25g2p8.png,4,37.333187
ori45g2p10.png,2,1.632585
ori35g1p4.png,3,1.386206
ori45g1p4.png,2,1.961778
ani5g2p2.png,8,1.870549
ori15g2p2.png,5,1.406945
ani5g1p4.png,6,1.090848
ani35g2p9.png,3,1.265516
ori45g3p8.png,1,1.371855
orig1p5.png,10,1.582868
ani15g1p5.png,8,1.83595
ani35g1p4.png,3,2.153963
ani45g1p2.png,2,1.041596
ani35g1p1.png,3,0.278426
ani25g1p3.png,2,0.908585
anig3p2.png,10,5.495788
ori45g2p8.png,2,1.100056
ori5g1p6.png,10,2.830276
ani45g3p3.png,2,0.83721
ori5g3p3.png,8,1.267798
ori25g2p2.png,3,2.114836
ani5g2p9.png,10,2.601482
ori5g2p6.png,10,0.96526
ani5g3p8.png,10,0.811984
ani35g2p6.png,2,1.063586
anig2p3.png,10,1.054121
ori35g3p7.png,3,0.913408
ori35g1p8.png,4,0.735783
ori15g1p5.png,6,1.111976
ori15g2p6.png,5,0.773696
ani35g3p1.png,3,1.101436
ani25g2p2.png,4,1.2152
ani25g1p5.png,3,1.23815
ani35g2p3.png,2,2.312458
ori15g1p9.png,3,0.641795
ani25g3p5.png,3,0.493025
ori35g2p2.png,3,0.372666
anig3p10.png,8,1.555735
ani5g2p6.png,9,1.010279
ori15g3p7.png,4,1.347352
ani15g2p6.png,3,0.985296
ori25g3p6.png,5,1.023283
ori35g2p9.png,5,0.550445
ani15g3p2.png,3,0.326304
orig2p10.png,9,1.417986
ori35g3p3.png,2,1.226585
ani45g1p9.png,2,0.749413
ori15g3p8.png,3,0.760121
ani15g1p2.png,3,1.418665
anig1p1.png,8,1.489612
orig3p8.png,8,1.141231
ani15g2p7.png,9,2.224647
ani45g1p5.png,3,1.184833
ani5g2p3.png,10,1.062592
anig1p8.png,9,1.219206
ori45g2p7.png,3,0.888946
ani5g3p10.png,8,1.532763
orig1p9.png,10,1.445922
ani45g2p3.png,2,0.918692
ani5g3p1.png,10,6.473533
ori5g1p7.png,8,1.364236
ori35g2p8.png,3,0.95617
orig3p1.png,10,0.933324
ori5g3p9.png,8,1.64331
orig1p4.png,10,1.301064
ani25g3p6.png,7,1.744841
ani15g3p8.png,5,2.286729
ori25g3p9.png,4,1.391503
ori45g3p7.png,2,1.021959
ani45g2p10.png,1,0.676166
ani45g3p10.png,1,0.065786
ori5g3p10.png,3,2.119583
ani45g2p7.png,4,0.972652
orig3p7.png,10,1.35329
ori15g2p5.png,7,1.38913
anig2p9.png,4,1.190504
ani35g3p4.png,4,1.433746
ori45g3p2.png,4,0.526599
ani45g3p7.png,4,0.414336
orig1p10.png,7,1.2718
ori5g3p2.png,10,0.892376
ani25g1p1.png,7,5.516797
anig1p2.png,9,1.924435
anig3p7.png,10,0.990762
ani5g3p2.png,10,1.406593
ori25g2p5.png,6,1.267383
ani5g2p4.png,8,3.31241
ani15g3p3.png,6,1.334484
ani15g3p7.png,6,0.935144
ori25g3p10.png,5,0.677715
ori5g3p5.png,6,0.801807
orig3p2.png,10,0.976069
ani45g3p6.png,3,0.828388
ani35g3p7.png,2,0.80874
ori25g1p7.png,2,1.244653
anig2p7.png,10,1.103084
ani25g2p6.png,3,3.06498
ani45g2p6.png,3,0.348845
ori35g1p10.png,3,1.431883
ani5g2p10.png,10,11.197227
ani5g1p2.png,10,2.681773
ori35g1p6.png,2,1.197063
ori35g3p6.png,2,2.018205
ani25g2p9.png,2,2.83361
ori45g2p6.png,1,1.335453
orig1p8.png,9,19.473045
ani25g2p7.png,5,1.778575
ori35g1p1.png,3,6.341496
ori5g2p3.png,8,1.479242
ori5g2p2.png,6,1.232953
ori35g3p4.png,2,1.909227
ani45g3p5.png,1,0.913568
