test_image,response,resptime
ani25g1p9.png,4,6.819346
anig2p2.png,10,1.991363
ani35g1p1.png,3,2.183507
ani45g3p3.png,1,1.415509
ani35g3p1.png,1,0.777926
ori5g2p8.png,10,2.709342
ani45g3p4.png,1,0.870656
anig1p3.png,10,0.767672
ori45g3p2.png,1,0.745698
orig3p6.png,10,0.797478
ani35g1p5.png,4,3.324748
ori25g3p4.png,3,1.491215
ori15g3p7.png,7,7.070179
ani5g3p8.png,10,2.576156
ori45g3p6.png,2,2.035192
ori35g1p4.png,3,1.657469
ori45g2p6.png,1,1.406114
ani25g1p4.png,5,1.788191
ori35g3p10.png,1,2.728708
orig1p4.png,10,2.531683
ani45g2p1.png,6,2.246827
ori35g3p5.png,5,3.408513
ori5g2p5.png,10,2.31978
ani25g3p3.png,6,6.513403
ani45g1p8.png,2,1.89139
ani15g2p5.png,8,4.39958
ori35g2p6.png,2,2.479265
ori5g3p3.png,10,1.469498
ani15g3p2.png,6,2.932442
ori25g3p10.png,2,4.090294
anig2p6.png,10,1.424051
ani15g2p10.png,8,1.993417
ani35g3p3.png,3,2.090912
orig3p8.png,10,1.839256
orig3p9.png,10,1.488723
ani35g3p6.png,2,1.527864
ani15g3p7.png,5,1.415015
ori35g1p1.png,3,4.03501
ani45g1p3.png,3,1.262458
ori45g1p1.png,2,1.433661
orig1p1.png,10,0.946585
ori25g1p4.png,4,1.576163
ani5g2p4.png,10,1.264225
anig3p3.png,10,0.670043
ani35g3p5.png,4,2.833697
ani25g3p2.png,3,1.742089
ori45g3p9.png,1,0.879553
ani35g1p6.png,5,2.131705
orig3p7.png,10,2.254339
ori25g2p3.png,5,2.712736
ori45g1p3.png,2,8.216483
ori15g1p4.png,9,4.496285
ori25g3p8.png,3,2.618707
orig2p9.png,10,1.230296
ori25g1p10.png,8,2.908149
ori45g1p2.png,2,3.184432
ori35g3p6.png,2,2.52703
ori25g3p7.png,4,2.088032
orig1p2.png,10,2.366802
orig2p2.png,10,0.726979
ori35g1p7.png,3,4.631051
ani25g1p8.png,6,2.195958
ori25g2p1.png,6,5.832405
ori15g2p2.png,6,1.42603
anig2p8.png,10,2.293828
ani35g1p9.png,3,2.391069
ani25g2p6.png,4,1.83741
ani45g1p10.png,2,1.504757
ani35g2p10.png,3,2.469049
ani35g3p9.png,1,1.436223
ori35g1p5.png,2,1.49554
ani35g3p4.png,1,0.810795
ani15g1p3.png,9,2.428114
ori35g2p8.png,3,3.074003
ori15g1p7.png,10,2.421598
ori45g3p7.png,2,2.374312
ori25g2p4.png,4,2.01687
ani45g1p9.png,1,1.801979
anig1p2.png,10,1.115827
ani15g3p8.png,9,2.825017
ani25g1p2.png,5,4.543028
ori5g2p4.png,9,1.777715
ani15g2p6.png,8,1.561408
ori5g3p1.png,10,1.122975
orig2p5.png,10,0.748229
ani45g1p5.png,2,1.709113
ori5g1p6.png,10,1.010616
ani25g3p8.png,3,2.922606
ani5g3p10.png,10,1.38547
ani15g1p10.png,8,2.959728
ori25g1p3.png,8,2.341438
ori45g2p5.png,1,1.40197
ori35g3p4.png,1,0.730421
ori25g2p5.png,3,1.782669
ani5g3p4.png,10,1.612449
ori45g2p4.png,1,10.480411
orig1p6.png,10,1.832311
anig3p5.png,10,0.966636
ori5g1p3.png,10,0.874411
ori35g1p2.png,3,5.467321
ani5g1p9.png,10,0.995495
ori35g2p7.png,2,3.457256
ani35g2p3.png,2,1.225064
anig3p1.png,10,0.779185
ani15g1p6.png,9,1.287169
ani25g3p10.png,2,2.010766
ori35g3p7.png,1,1.283339
ori35g3p1.png,1,0.543066
ani25g2p10.png,3,2.552918
ani35g3p2.png,1,0.768726
ani45g3p1.png,1,0.76755
ani45g2p6.png,1,0.931677
orig3p2.png,10,0.965841
ani15g1p7.png,9,2.345879
ori35g3p9.png,1,0.942611
ani35g1p2.png,3,2.735437
ori15g3p5.png,9,2.333063
ori35g3p2.png,1,1.003498
ani15g3p4.png,7,2.537668
anig3p8.png,8,0.063217
ani5g2p1.png,10,2.541078
orig2p8.png,10,0.939488
anig2p10.png,10,0.798591
ori15g3p8.png,9,2.119818
ori15g3p3.png,9,0.995695
ori25g2p9.png,3,2.446551
