test_image,response,resptime

ori25g2p7.png,3,5.374659

anig1p5.png,10,1.977443

ori25g2p2.png,8,1.72174

ani25g1p6.png,8,1.273902

orig1p9.png,10,1.611487

ani5g2p10.png,9,2.417455

ori35g2p7.png,1,2.169988

ori15g2p10.png,4,1.721497

ori45g3p8.png,1,1.962275

ani25g2p9.png,1,1.220476

ani25g3p8.png,4,1.528297

ani45g3p8.png,1,1.878174

orig3p1.png,9,2.124397

ani15g2p8.png,7,1.44029

ani5g2p3.png,9,2.396695

orig3p9.png,9,2.163827

ori5g2p4.png,7,1.569217

ani45g1p8.png,2,1.791369

ani45g3p9.png,1,0.855837

ani25g2p8.png,2,1.462077

ori25g2p10.png,5,3.440158

ori35g1p8.png,2,1.936403

orig3p10.png,10,1.9314

ori25g3p9.png,6,2.145597

ani25g1p8.png,8,4.640156

ani5g1p7.png,9,1.430202

ani15g1p6.png,8,1.826988

ani15g1p4.png,7,2.426446

ori35g2p4.png,3,1.587688

ori25g3p5.png,4,1.513878

ani15g2p10.png,8,2.167687

ori45g2p4.png,1,1.3386

ori35g3p1.png,1,0.978423

ani25g3p5.png,8,5.498385

ori15g2p2.png,8,2.027343

ori5g2p9.png,10,1.35162

orig3p8.png,10,1.001411

ani25g2p1.png,7,1.743255

anig1p6.png,10,1.729123

ani45g1p2.png,3,1.808179

ori15g3p10.png,8,2.066673

ori45g2p9.png,1,1.457459

anig3p2.png,8,5.91846

ori15g3p2.png,9,3.691353

ani5g2p4.png,9,1.163632

ani25g2p4.png,6,1.222517

ori15g3p1.png,7,2.897063

ori45g2p8.png,1,2.240177

ani5g1p9.png,10,1.527661

ani5g2p5.png,9,1.228576

ori15g1p4.png,9,1.179132

ori5g2p7.png,9,1.674104

ori25g3p10.png,8,1.509853

ori35g2p5.png,5,1.704835

anig2p8.png,10,2.021334

ani15g2p5.png,8,3.694561

ori5g2p6.png,9,1.594321

anig1p7.png,10,1.775809

ani25g3p2.png,4,1.511167

ani45g2p1.png,1,1.284905

ori15g3p4.png,4,1.570736

orig3p7.png,10,2.280476

ani35g3p3.png,7,1.264174

ani5g1p4.png,10,1.770684

ani15g1p5.png,8,1.714913

ori45g3p7.png,1,2.475772

ori35g3p9.png,1,6.341023

ani5g1p10.png,9,1.933415

ani35g2p2.png,3,3.817868

orig1p4.png,10,1.921871

ani45g2p9.png,1,1.354489

orig3p6.png,10,1.042227

ani35g2p4.png,2,3.311491

ori25g2p1.png,4,1.610323

ani25g3p1.png,1,1.691888

ani45g1p9.png,1,0.763192

ori35g1p3.png,1,0.628857

ani25g2p2.png,3,1.496632

ani25g3p4.png,3,2.134903

orig2p9.png,10,1.606777

ani5g3p9.png,9,1.190188

ori25g1p3.png,3,3.554359

ani15g2p4.png,6,1.766723

anig2p2.png,10,4.440526

ani35g1p8.png,4,1.987129

anig2p10.png,9,3.534789

ori5g1p7.png,8,2.318528

ori45g1p7.png,1,1.341576

ori45g1p2.png,1,0.956446

ani5g3p4.png,10,1.477018

ani35g3p5.png,1,1.038218

orig1p8.png,10,1.398253

ani45g1p7.png,2,1.640838

ori45g1p9.png,1,1.039272

anig3p4.png,10,0.885168

orig1p5.png,10,1.337544

ani5g2p8.png,10,1.313558

ani5g3p1.png,6,1.830845

ani25g2p7.png,5,1.639909

ori35g3p7.png,2,5.911378

ani35g1p6.png,2,1.936037

ani45g1p6.png,1,1.178723

ori5g1p2.png,10,1.917467

ori25g2p8.png,4,8.228745

ori35g3p6.png,1,1.253571

ori45g3p9.png,1,0.781254

ani25g3p9.png,3,1.57255

ani45g3p10.png,1,1.393812

ani25g1p10.png,7,7.967176

ani5g1p1.png,9,2.767424

ani5g3p7.png,9,1.404389

ani35g2p7.png,3,4.223181

orig3p5.png,9,1.580503

ori35g1p10.png,4,5.592154

ori15g2p9.png,8,2.275705

ori45g2p6.png,2,1.39008

ani25g3p10.png,10,1.277856

ori35g2p6.png,1,0.952024

ani15g1p9.png,7,2.578105

ori45g3p10.png,1,1.30146

ani25g1p4.png,4,1.850614

ani15g3p3.png,7,2.002438

ori45g2p7.png,1,2.540239

ani35g3p10.png,10,1.268986

ani45g3p7.png,1,1.584682

ori15g2p5.png,1,2.08439

ori35g2p1.png,2,5.036361

ori15g1p5.png,7,2.921851

ori5g1p8.png,8,1.782083

ori5g2p1.png,10,1.554984

ori5g3p10.png,9,1.46429

ani5g1p2.png,10,3.075958

anig2p1.png,9,2.222591

ori25g1p7.png,6,5.309178

orig2p7.png,10,1.742963

ori15g2p1.png,8,2.005868

ori25g1p5.png,6,2.213967

ori15g1p3.png,7,1.795415

ori35g1p1.png,6,2.324339

ani25g2p6.png,6,1.164885

ani35g2p3.png,4,2.524599

ani45g1p5.png,3,1.19688

ani15g3p10.png,6,1.558824

ani35g2p10.png,5,1.477089

ani35g1p1.png,3,1.508969

ani45g3p5.png,1,1.256454

ani45g1p1.png,1,0.900692

ani45g2p8.png,1,0.697566

ori5g1p10.png,8,2.441226

orig3p2.png,10,1.828118

orig1p3.png,8,1.303658

orig2p6.png,10,1.526997

ori35g2p10.png,7,1.735356

ori15g2p4.png,2,1.316456

ori5g1p3.png,1,1.790361

ori15g1p1.png,9,1.468148

ori35g3p5.png,6,2.015128

orig1p1.png,10,2.009107

ori15g2p8.png,8,8.367048

orig3p4.png,10,1.314561

ori15g1p2.png,8,1.363794

ani15g2p2.png,8,1.142507

anig1p8.png,10,1.296609

ani45g2p3.png,3,1.732165

ori35g1p9.png,3,1.136749

anig2p3.png,10,1.083275

ani35g2p1.png,5,1.613395

ori15g3p8.png,7,1.305443

ani5g3p10.png,7,1.970088

ani35g3p4.png,4,1.61467

orig2p5.png,9,1.821922

ori35g2p2.png,5,1.23804

orig1p6.png,10,1.615101

ani45g2p7.png,1,1.559128

ori15g3p5.png,8,4.819275

anig2p5.png,10,1.511168

ani15g3p8.png,7,1.315226

ani15g2p6.png,8,1.843028

ori45g1p10.png,2,1.400329

ori15g2p6.png,7,1.824032

ani45g2p4.png,3,1.666744

ori25g3p8.png,5,2.344703

orig1p7.png,8,1.416192

ani5g2p6.png,10,1.424406

ori25g2p3.png,8,12.293429

orig2p1.png,10,1.402626

ani25g3p6.png,2,1.684765

ani5g1p5.png,10,1.441424

ori25g2p6.png,4,2.716486

anig1p3.png,10,1.189315

ori25g1p4.png,8,1.557525

ori35g2p3.png,4,2.439892

ani15g2p9.png,5,2.292611

ori5g2p8.png,8,1.351066

ori25g1p10.png,2,1.29461

orig2p4.png,10,3.160392

ori15g3p7.png,8,1.394334

ori45g1p3.png,1,2.322271

ani15g3p2.png,3,1.706173

ori25g1p9.png,5,1.627031

ori35g3p3.png,3,2.111732

anig3p1.png,8,1.620265

ani45g1p4.png,1,1.95037

ori5g2p2.png,8,1.824883

ani5g1p6.png,9,3.221112

ori45g3p3.png,2,1.251643

ani45g1p10.png,4,1.884145

ori45g3p6.png,1,1.166975

ani45g2p2.png,2,1.35022

ani25g1p1.png,3,1.823384

