,test_image,response,resptime,observer,group,type,noise
7,anig1p3.png,10.0,0.767672,Person1,hoch Detailgrad,Anime,0
78,anig1p2.png,10.0,1.115827,Person1,hoch Detailgrad,Anime,0
143,anig1p7.png,8.0,4.748432,Person1,hoch Detailgrad,Anime,0
239,anig1p8.png,7.0,2.713915,Person1,hoch Detailgrad,Anime,0
251,anig1p5.png,10.0,1.48036,Person1,hoch Detailgrad,Anime,0
283,anig1p9.png,10.0,0.721881,Person1,hoch Detailgrad,Anime,0
285,anig1p6.png,10.0,0.705601,Person1,hoch Detailgrad,Anime,0
309,anig1p10.png,6.0,0.916986,Person1,hoch Detailgrad,Anime,0
316,anig1p1.png,9.0,2.462141,Person1,hoch Detailgrad,Anime,0
331,anig1p4.png,8.0,1.3996,Person1,hoch Detailgrad,Anime,0
3,anig1p5.png,9.0,2.629037,Person2,hoch Detailgrad,Anime,0
77,anig1p6.png,10.0,2.783749,Person2,hoch Detailgrad,Anime,0
115,anig1p7.png,9.0,6.273818,Person2,hoch Detailgrad,Anime,0
325,anig1p8.png,8.0,2.482364,Person2,hoch Detailgrad,Anime,0
379,anig1p3.png,10.0,1.378039,Person2,hoch Detailgrad,Anime,0
437,anig1p9.png,10.0,1.64325,Person2,hoch Detailgrad,Anime,0
459,anig1p10.png,10.0,2.328684,Person2,hoch Detailgrad,Anime,0
489,anig1p4.png,10.0,1.517065,Person2,hoch Detailgrad,Anime,0
651,anig1p2.png,10.0,1.332357,Person2,hoch Detailgrad,Anime,0
693,anig1p1.png,8.0,1.676644,Person2,hoch Detailgrad,Anime,0
1,anig1p5.png,10.0,1.977443,Person3,hoch Detailgrad,Anime,0
38,anig1p6.png,10.0,1.729123,Person3,hoch Detailgrad,Anime,0
57,anig1p7.png,10.0,1.775809,Person3,hoch Detailgrad,Anime,0
162,anig1p8.png,10.0,1.296609,Person3,hoch Detailgrad,Anime,0
189,anig1p3.png,10.0,1.189315,Person3,hoch Detailgrad,Anime,0
218,anig1p9.png,10.0,1.73295,Person3,hoch Detailgrad,Anime,0
229,anig1p10.png,9.0,2.341588,Person3,hoch Detailgrad,Anime,0
244,anig1p4.png,10.0,1.653347,Person3,hoch Detailgrad,Anime,0
325,anig1p2.png,10.0,1.175594,Person3,hoch Detailgrad,Anime,0
346,anig1p1.png,10.0,1.336123,Person3,hoch Detailgrad,Anime,0
49,anig1p1.png,8.0,1.008569,Person4,hoch Detailgrad,Anime,0
54,anig1p8.png,8.0,2.632039,Person4,hoch Detailgrad,Anime,0
